seriesID,seriesCode,seriesName,seriesParent,seriesUnits,entityID,entityIso,entityName,dataValue,dataYear,dataNote,dataSource,seriesDescription
11624,i99H,Individuals using the Internet,,%,4,ABW,Aruba,15.44282295,2000,,Servicio di Telecomunicacion di Aruba (SETAR).,Refers to the proportion of individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network.
11624,i99H,Individuals using the Internet,,%,4,ABW,Aruba,17.1,2001,,ITU estimate.,Refers to the proportion of individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network.
11624,i99H,Individuals using the Internet,,%,4,ABW,Aruba,18.8,2002,,ITU estimate.,Refers to the proportion of individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network.
11624,i99H,Individuals using the Internet,,%,4,ABW,Aruba,20.8,2003,,ITU estimate.,Refers to the proportion of individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network.
11624,i99H,Individuals using the Internet,,%,4,ABW,Aruba,23.0,2004,,ITU estimate.,Refers to the proportion of individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network.
11624,i99H,Individuals using the Internet,,%,4,ABW,Aruba,25.4,2005,,ITU estimate.,Refers to the proportion of individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network.
11624,i99H,Individuals using the Internet,,%,4,ABW,Aruba,28.0,2006,,ITU estimate.,Refers to the proportion of individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network.
11624,i99H,Individuals using the Internet,,%,4,ABW,Aruba,30.9,2007,,ITU estimate.,Refers to the proportion of individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network.
11624,i99H,Individuals using the Internet,,%,4,ABW,Aruba,52.0,2008,,ITU estimate.,Refers to the proportion of individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network.
11624,i99H,Individuals using the Internet,,%,4,ABW,Aruba,58.0,2009,,ITU estimate.,Refers to the proportion of individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network.
11624,i99H,Individuals using the Internet,,%,4,ABW,Aruba,62.0,2010,,ITU estimate.,Refers to the proportion of individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network.
11624,i99H,Individuals using the Internet,,%,4,ABW,Aruba,69.0,2011,,ITU estimate.,Refers to the proportion of individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network.
11624,i99H,Individuals using the Internet,,%,4,ABW,Aruba,74.0,2012,,ITU estimate.,Refers to the proportion of individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network.
11624,i99H,Individuals using the Internet,,%,4,ABW,Aruba,78.9,2013,,ITU estimate.,Refers to the proportion of individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network.
11624,i99H,Individuals using the Internet,,%,4,ABW,Aruba,83.78,2014,,ITU estimate.,Refers to the proportion of individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network.
11624,i99H,Individuals using the Internet,,%,4,ABW,Aruba,88.66122693,2015,,ITU estimate.,Refers to the proportion of individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network.
11624,i99H,Individuals using the Internet,,%,4,ABW,Aruba,93.54245387,2016,,ITU Estimate.,Refers to the proportion of individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network.
11624,i99H,Individuals using the Internet,,%,4,ABW,Aruba,97.17,2017,,ITU estimate.,Refers to the proportion of individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network.
11624,i99H,Individuals using the Internet,,%,6,AFG,Afghanistan,0.004722568,2001,,ITU estimate.,Refers to the proportion of individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network.
11624,i99H,Individuals using the Internet,,%,6,AFG,Afghanistan,0.004561395,2002,,Ministry of Communications.,Refers to the proportion of individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network.
11624,i99H,Individuals using the Internet,,%,6,AFG,Afghanistan,0.087891253,2003,,Ministry of Communications.,Refers to the proportion of individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network.
11624,i99H,Individuals using the Internet,,%,6,AFG,Afghanistan,0.10580903,2004,,Ministry of Communications.,Refers to the proportion of individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network.
11624,i99H,Individuals using the Internet,,%,6,AFG,Afghanistan,1.224148084,2005,,Ministry of Communications.,Refers to the proportion of individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network.
11624,i99H,Individuals using the Internet,,%,6,AFG,Afghanistan,2.107123645,2006,,Ministry of Communications.,Refers to the proportion of individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network.
11624,i99H,Individuals using the Internet,,%,6,AFG,Afghanistan,1.899999976,2007,,ITU estimate.,Refers to the proportion of individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network.
